model,task,fold,stage,seed,patient_count,cell_count,validation_patients,validation_cells,test_patients,test_cells,preprocessing,selection,refit,sampling,supervision,ci_type,bootstrap_seed,bootstrap_replicates,prediction_metric,artifact_source,config_source,log_source,checkpoint_source,manifest_source,details
xgboost,coarse,0,final_fit,unavailable / not applicable; see details,32,294812,0,0,8,66980,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 66980, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,coarse,1,final_fit,unavailable / not applicable; see details,32,293411,0,0,8,68381,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68381, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,coarse,2,final_fit,unavailable / not applicable; see details,32,275553,0,0,8,86239,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 86239, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,coarse,3,final_fit,unavailable / not applicable; see details,32,292943,0,0,8,68849,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68849, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,coarse,4,final_fit,unavailable / not applicable; see details,32,290449,0,0,8,71343,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 71343, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,fine,0,final_fit,unavailable / not applicable; see details,32,294812,0,0,8,66980,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 66980, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,fine,1,final_fit,unavailable / not applicable; see details,32,293411,0,0,8,68381,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68381, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,fine,2,final_fit,unavailable / not applicable; see details,32,275553,0,0,8,86239,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 86239, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,fine,3,final_fit,unavailable / not applicable; see details,32,292943,0,0,8,68849,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68849, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
xgboost,fine,4,final_fit,unavailable / not applicable; see details,32,290449,0,0,8,71343,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; no sample weights; tree subsample=.8,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/xgboost/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 71343, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
flat_ce,coarse+fine,0,selected_checkpoint,42,24,226431,8,68381,8,66980,"provided apt_expression, train-only mean/std, no quantile binning","validation fine CW Macro-F1, first strict maximum, patience 10; observed-label union","no development refit; selected checkpoint, calibration_epochs=0","all fit cells, shuffled mini-batches; no weighted sampler","fine/coarse hierarchy labels, no disease objective",P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold0/test_predictions.csv,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold0/resolved_config.json,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold0/training_log.csv,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold0/final.pt,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold0/split.csv,"{""alignment"": ""exact replay and keyed test set, no intersection filtering"", ""alignment_source"": ""/ssd3/mayiling/apt_agent_runtime/remaining_v1/oracle/flat_ce_f0.npz"", ""best_logged_epoch"": 9, ""config"": {""data"": {""annotation_path"": ""data/cell_annotation.csv"", ""coarse_mapping_config"": ""cell_JEPA/apt_jepa/configs/coarse_lineage_explicit.yaml"", ""data_dir"": ""data"", ""drop_missing_subtype"": true, ""drop_unknown"": true, ""metadata_path"": ""data/metadata.csv"", ""subtype_col_in_annotation"": ""Celltypes_new"", ""use_quantile_binning"": false}, ""loss"": {""epsilon"": 1e-06, ""lambda_coarse"": 0.5, ""lambda_fine"": 1.0, ""variant"": ""flat_ce""}, ""model"": {""dropout"": 0.1, ""ff_dim"": 512, ""hidden_dim"": 256, ""n_heads"": 8, ""n_layers"": 4, ""num_features"": 293}, ""schedule"": {""calibration_epochs"": 5, ""calibration_lr"": 0.0003}, ""split"": {""external_split_csv"": ""cell_JEPA/outputs/dropcascade_kfold5_splits/fold0_split.csv"", ""mode"": ""external""}, ""train"": {""batch_size"": 512, ""epochs"": 50, ""grad_clip_norm"": 1.0, ""lr"": 0.0001, ""num_workers"": 4, ""output_dir"": ""cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold0"", ""patience"": 10, ""seed"": 42, ""use_amp"": true, ""weight_decay"": 1e-05}}, ""declared_max_epochs"": 50, ""evaluated_recipe_count"": ""one retained configuration; complete historical search count unavailable"", ""final_equals_best_tensors"": true, ""final_replay_calibration_budget"": 0, ""input_features_status"": ""293 features in saved config; exact historical feature-ID list not serialized in this audit"", ""max_epoch_status"": ""recovered from selected best.pt training config; final model tensors identical"", ""observed_epochs"": 19, ""original_calibration_budget"": 5, ""pooled_source"": ""/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/pooled_oof_predictions.csv"", ""resolved_config"": {""data"": {""annotation_path"": ""data/cell_annotation.csv"", ""coarse_mapping_config"": ""cell_JEPA/apt_jepa/configs/coarse_lineage_explicit.yaml"", ""data_dir"": ""data"", ""drop_missing_subtype"": true, ""drop_unknown"": true, ""metadata_path"": ""data/metadata.csv"", ""subtype_col_in_annotation"": ""Celltypes_new"", ""use_quantile_binning"": false}, ""loss"": {""epsilon"": 1e-06, ""lambda_coarse"": 0.5, ""lambda_fine"": 1.0, ""variant"": ""flat_ce""}, ""model"": {""dropout"": 0.1, ""ff_dim"": 512, ""hidden_dim"": 256, ""n_heads"": 8, ""n_layers"": 4, ""num_features"": 293}, ""schedule"": {""calibration_epochs"": 0, ""calibration_lr"": 0.0003}, ""split"": {""external_split_csv"": ""cell_JEPA/outputs/dropcascade_kfold5_splits/fold0_split.csv"", ""mode"": ""external""}, ""train"": {""batch_size"": 512, ""epochs"": 50, ""grad_clip_norm"": 1.0, ""lr"": 0.0001, ""num_workers"": 4, ""output_dir"": ""cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold0"", ""patience"": 10, ""seed"": 42, ""use_amp"": true, ""weight_decay"": 1e-05}}, ""test"": {""cell_count"": 66980, ""patient_count"": 8}, ""validation"": {""cell_count"": 68381, ""patient_count"": 8}}"
flat_ce,coarse+fine,1,selected_checkpoint,42,24,207172,8,86239,8,68381,"provided apt_expression, train-only mean/std, no quantile binning","validation fine CW Macro-F1, first strict maximum, patience 10; observed-label union","no development refit; selected checkpoint, calibration_epochs=0","all fit cells, shuffled mini-batches; no weighted sampler","fine/coarse hierarchy labels, no disease objective",P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold1/test_predictions.csv,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold1/resolved_config.json,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold1/training_log.csv,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold1/final.pt,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold1/split.csv,"{""alignment"": ""exact replay and keyed test set, no intersection filtering"", ""alignment_source"": ""/ssd3/mayiling/apt_agent_runtime/remaining_v1/oracle/flat_ce_f1.npz"", ""best_logged_epoch"": 11, ""config"": {""data"": {""annotation_path"": ""data/cell_annotation.csv"", ""coarse_mapping_config"": ""cell_JEPA/apt_jepa/configs/coarse_lineage_explicit.yaml"", ""data_dir"": ""data"", ""drop_missing_subtype"": true, ""drop_unknown"": true, ""metadata_path"": ""data/metadata.csv"", ""subtype_col_in_annotation"": ""Celltypes_new"", ""use_quantile_binning"": false}, ""loss"": {""epsilon"": 1e-06, ""lambda_coarse"": 0.5, ""lambda_fine"": 1.0, ""variant"": ""flat_ce""}, ""model"": {""dropout"": 0.1, ""ff_dim"": 512, ""hidden_dim"": 256, ""n_heads"": 8, ""n_layers"": 4, ""num_features"": 293}, ""schedule"": {""calibration_epochs"": 5, ""calibration_lr"": 0.0003}, ""split"": {""external_split_csv"": ""cell_JEPA/outputs/dropcascade_kfold5_splits/fold1_split.csv"", ""mode"": ""external""}, ""train"": {""batch_size"": 512, ""epochs"": 50, ""grad_clip_norm"": 1.0, ""lr"": 0.0001, ""num_workers"": 4, ""output_dir"": ""cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold1"", ""patience"": 10, ""seed"": 42, ""use_amp"": true, ""weight_decay"": 1e-05}}, ""declared_max_epochs"": 50, ""evaluated_recipe_count"": ""one retained configuration; complete historical search count unavailable"", ""final_equals_best_tensors"": true, ""final_replay_calibration_budget"": 0, ""input_features_status"": ""293 features in saved config; exact historical feature-ID list not serialized in this audit"", ""max_epoch_status"": ""recovered from selected best.pt training config; final model tensors identical"", ""observed_epochs"": 21, ""original_calibration_budget"": 5, ""pooled_source"": ""/home/mayiling/projs/apt_agent/cell_JEPA/outputs/matched_ft_transformer/flat_ce/pooled_oof_predictions.csv"", ""resolved_config"": {""data"": {""annotation_path"": ""data/cell_annotation.csv"", ""coarse_mapping_config"": ""cell_JEPA/apt_jepa/configs/coarse_lineage_explicit.yaml"", ""data_dir"": ""data"", ""drop_missing_subtype"": true, ""drop_unknown"": true, ""metadata_path"": ""data/metadata.csv"", ""subtype_col_in_annotation"": ""Celltypes_new"", ""use_quantile_binning"": false}, ""loss"": {""epsilon"": 1e-06, ""lambda_coarse"": 0.5, ""lambda_fine"": 1.0, ""variant"": ""flat_ce""}, ""model"": {""dropout"": 0.1, ""ff_dim"": 512, ""hidden_dim"": 256, ""n_heads"": 8, ""n_layers"": 4, ""num_features"": 293}, ""schedule"": {""calibration_epochs"": 0, ""calibration_lr"": 0.0003}, ""split"": {""external_split_csv"": ""cell_JEPA/outputs/dropcascade_kfold5_splits/fold1_split.csv"", ""mode"": ""external""}, ""train"": {""batch_size"": 512, ""epochs"": 50, ""grad_clip_norm"": 1.0, ""lr"": 0.0001, ""num_workers"": 4, ""output_dir"": ""cell_JEPA/outputs/matched_ft_transformer/flat_ce/fold1"", ""patience"": 10, ""seed"": 42, ""use_amp"": true, ""weight_decay"": 1e-05}}, ""test"": {""cell_count"": 68381, ""patient_count"": 8}, ""validation"": {""cell_count"": 86239, ""patient_count"": 8}}"
